job_id,skill
90,Spring Boot
90, Node.js
90, TypeScript
90, Python
90, NLP
90, REST APIs
90, AWS SQS
90, AWS Kinesis
90, AWS RDS
90, NoSQL
90, AWS DynamoDB
90, AWS ElasticCache
90, AWS Redshift
91,HTTP Protocol
91, Selenium
91, SQL
91, Ready API
92,ReactJS
92, HTTP Protocol
93,IoT
93, Cloud Technology
94,Blockchain
94, Bots
94, BigData
94, IoT
94, SQL
94, PHP
94, JS
94, Python
94, Symfony
94, Silex
94, NodeJS
94, AWS-Cloud
94, Hybrid Cloud
94, Private Cloud
94, On-Premise
94, Unix/Linux
94, Spryker 
95,HTML5
95, CSS3
95, JavaScript
95, jQuery
95, AngularJS
95, Bootstrap
95, React
95, Webpack
95, Redux
95, Twig
95, Scss
95, Foundation
95, Photoshop
96,Bash
96, Python
96, Ruby
96, TCP/IP
96, HTTP
96, Puppet
96, Chef
97,Kanban
97, Scrum
98,VLAN
98, VPN
98, IT administration
99,Yarn
99, HDFS
99, Hive
99, Flink
99, Kafka
99, Jupyter
99, Hue
100,CSS
100, Javascript
100, Go
100, Python
100, Ruby
100, PHP
100, SASS/LESS
100, Git 
101,NLP
101, Machine learning
102,AWS
102, REST APIs
102, Go
102, node.js
102, Ruby on Rails
103,mySQL
103, Redshift
103, AWS
103, Python
103, Snowplow
103, Airflow
104,Tableau
104, Metabase
104, QuickSight
104, SQL
104, Excel
104, GA
104, GTM
104, Snowplow
104, Python
104, R
104, Pandas
104, Scikit-learn
104, SciPy
104, Amazon Redshift
104, AWS stack
105,Edge
105, Cisco
105, Ubiquity
105, VLAN
105, VPN
105, Synology NAS
105, iptables
105, cron
105, ssh
105, bash
105, dns
105, ssl
105, nginx
105, Navision
105, Remote Desktop
105, MSSQL
105, Active Directory
105, Ansible
105, AWS
105, Route53
105, EC2
105, S3
105, RDS
106,PHP
106, HTML5
106, Mysql
106, Postgresql
106, Laravel
106, Yii
106, FuelPHP
106, Symfony 2
106, Zend 2
106, git
106, svn
106, MongoDB
106, CouchDB
106, Redis
106, memcache
106, TDD (PHPUnit)
106, BDD (Behat
106, Codeception)
106, AngularJS
106, Node
106, SASS / LESS
106, Composer
106, Packagist
107,Cloudera
107, Hortonworks
107, MapR
107, Amazon EMR
107, Hadoop
107, Google Cloud Platform
107, BigQuery
107, Data Store
108,JavaScript
108, Sahi
108, Selenium
108, Jenkins
108, Jira
108, TestRail
108, AWS
108, Azure
108, GCP
108, Hadoop 
109,Java
109, Python
109, Docker
109, Kubernetes
109, AWS
109, GCP
109, Jenkins
109, CI
109, Rest
109, SQL
109, NoSQL
109, Hadoop
109, Hive
109, Spark
110,AWS Redshift
110, MySQL
110, R
110, Python
110, Docker
111,Objective-C
111, UI/UX
111, XCode
111, UI Kit
111, Cocoa Touch
111, web services
111, REST APIs
111, Media Services
111, Instruments
111, JSON
111, Sqlite
111, SOAP
111, REST
111, JSON
111, XML
112,Ruby on Rails
112, SOA
112, RSpec
112, Minitest
112, Git
113,MySQL
113, AWS
113, Linux
113, Continuous Integration
114,Ruby w/o Rails
114, Angular
114, React
114, AWS
114, Jenkins
115,
116,Java
116, Git
116, Postgresql
116, R
116, Python
116, Matlab
116, SAS
116, Excel
116, SSH
116, SCP Protocol 
117,Git
117, npm
117, JavaScript
118,Excel
118, Jira
118, MS Project
119,
120,Laravel
120, Symfony
120, MySQL
120, PostgreSQL
120, MongoDB
120, PHP
120, AWS
120, Azure
120, Vue
120, AngularJS Angular
120, React
120, Git
120, Rest
121,Linux
121, PHP
121, Java
121, AWS EC2
121, S3
121, RDS
121, MongoDB
121, MYSQL
121, Nagios
121, Icinga
122,Selenium
122, Java
122, Groovy
122, Selenium Grid
122, BrowserStack
122, SauceLabs
122, TestNG
122, Jenkins
123,Javascript
123, HTML
123, CSS
123, Vue
123, AngularJS
123, React
123, Bootstrap
123, Foundation
123, LESS
123, Sass
123, Laravel
123, Rails
123, Django
123, Git 
124,Ruby on Rails
124, Postgres
124, Redis
124, Rspec
124, Capybara
124, Webpack
124, Babel
124, React
124, Redux
124, React-router
124, Sass
124, Postcss
124, Jest
124, Sinon
124, Cha
124, AWS
125,AngularJS
125, Angular
125, Javascript
125, Typescript
125, Graphics Programming / WebGL
126,Ruby
126, Python
126, Java
126, Scala
126, PostgreSQL
126, MySQL
126, Oracle
126, MongoDB
126, CouchDB
126, Cassandra
126, TDD
126, BDD
126, CI/CD
127,Selenium
127, Web Driver
127, JUnit
127, TestNG
127, Jira
127, Git
127, SVN
127, Maven
127, Jenkins
127, Java
127, Unix 
128,C#
128, Unity Multiplayer API (UNET)
128, HTC Vive
128, Git
128, svn
128, Scrum
128, Kanban
129,Python
129, Javascript
129, NoSQL
129, MongoDB
129, Apache Airflow
129, AWS
129, git
129, Linux
129, spark
129, Hadoop
130,R
130, Python
130, Matlab
130, Scikit-learn
130, TensorFlow
130, Torch
130, CRAN
130, Spark
130, Hadoop
130, SQL
130, NoSql
130, AWS
131,HTML
131, JSX
131, modular CSS (SCSS
131, PostCss)
131, Javascript
131, React
131, Gitflow
131, GitHub
131, TravisCI
131, jest
131, mocha
131, chai
131, sinon
131, nightwatch.js
131, webpack
131, ES6+
131, next.js
131, Restful API
132,Ruby
132, Python
132, AWS
133,Nginx or Apache
133, PostgreSQL
133, MongoDB
133, Docker
133, Swarm
133, Consul
133, Jenkins
133, git
134,HTML5
134, Angular
134, React
135,Python
135, Django
135, PostgreSQL
135, MongoDB
135, Docker
135, Swarm
135, Consul
135, Jenkins
135, git
136,SCRUM
136, Jira
136, Magento
137,ISTQB/CAT certification
137, cross OS testing
138,Java
138, Eclipse
138, Hadoop
138, HDFS
138, Hive
138, Spark
138, Flink
138, YARN
139,git
139, javascript
139, Node
139, React
140,Scrum
140, Kanban
141,ZeroMQ (ZMQ)
142,JavaScript ES6
142, React
142, HMTL
142, CSS
142, Sass/Less
142, UI/UX
142, Git
142, Mocha
142, Chai
142, Enzyme
142, Sketch
142, Invision
142, Adobe Creative Cloud
142, Webpack
142, Gulp
142, Grunt
142, Static Site Generators/Templating Engines
143,Selenium
143, SCRUM
143, KANBAN
143, Jira 
144,AWS Services
144, EC2
144, Memcache
144, Redis
144, Load Balancers
144, Docker Vagrant
144, Chef
144, PHP
144, Laravel
144, Relational Databases
144, Elastic Search
144, NoSQL
144, Angular 1.4 / 2.0
144, React
145,C++
145, SQL
145, Hadoop
145, Hive
145, Impala
145, Tensorflow
145, Spark
146,
147,Go
147, Scala
147, Ruby
147, MySQL
147, Redis
147, Nginx
147, Kafka
147, Docker
147, git
147, AWS
148,Node.js
148, Python
149,Python
149, React
149, Angular
150,PostgreSQL
150, Elasticsearch
150, Redis
150, Ruby on Rails
151,Javascript ES6
151, React
151, Angular
151, Redux
151, Webpack
151, SASS Design
151, responsive web design
151, scrum
151, kanban
152,
153,Javascript ES2015
153, AngularJS
153, TypeScript
153, Redux
153, React Native
154,Javascript ES6/ES2015
154, CSS3
154, SASS
154, LESS
154, POSTCSS
154, Bootstrap
154, Foundation
155,HTML
155, CSS and JavaScript
155, JQuery
155, React.js
155, Redux
155, Ruby on Rails
155, PostgreSQL
155, Elasticsearch
155, Redis
156,
157,JavaScript
157, UI
157, PowerShell
157, JavaScript
157, Puppet
157, Ansible
157, Chef
157, GIT
157, Jenkins
157, Maven 
158,Objective-C
158, Swift
158, Cocoa
158, iOS SDK
159,CSS
159, Javascript
159, Sass
159, jquery
159, vue.js
159, RequireJS
159, HTML
159, Twig
159, Angular
159, Grunt
159, ES6
160,HTML
160, (S)CSS
160, React
160, Javascript
160, Angular
160, Node
161,Scala
161, Android
161, git
162,
163,C++
163, git
163, Python 
163, JS
163, Metal API
163, OpenGL
163, JUCE
164,HTML
164, CSS
164, JavaScript
164, Haml
164, Sass
164, Vue.js
164, Redux
164, BEM
164, Ruby on Rails
164, ClojureScript
165,C++
165, Jenkins
166,PHP
166, Zend2
166, Zend3
166, HTML
166, CSS
166, LESS/SASS
166, JavaScript
166, JQuery
167,Kotlin
167, JVM
167, Android SDK
167, A/B Testing 
168,Objective-C
168, iOS SDK
168, Swift
169,Ruby on Rails
169, HTML
169, (S)CSS
169, Javascript
169, React
169, git
169, SQL
169, Jasmine
170,Spring
170, Groovy
170, Spock
170, Elastic Search
170, Kibana
170, Gradle
170, React
170, Gulp
170, Webpack
170, Node
170, React
170, Java
171,MySQL
171, PostgreSQL
171, Ruby
171, Elixir
171, Javascript
171, HTML
171, CSS
171, Packer
171, Terraform 
172,Javascript ES6
172, React
172, HTML
172, CSS
172, SCRUM
172, KANBAN
172, Carto
172, D3.js
173,PHP
173, HTML5
173, JQuery
173, CSS3
173, Hudson
173, Jenkins
173, TestNG
173, Selenium
173, Unit Frameworks
173, SQL
173, Java
174,Unity3D
174, C#
174, Java
174, Python
174, AWS
175,JIRA
175, Confluence
176,JavaScript
176, NodeJS
176, Jenkins
176, AWS
176, Git
176, MariaDB
176, Redis 
177,HTML
177, CSS
177, JavaScript
177, Typescript
177, Angular
177, node.js
177, Express
177, PHP
177, Mysql
177, REST API design
177, git
177, npm
177, Webpack
177, AWS
177, EC2
177, ECS
177, S3
