field1,job_id,skill,type
90,643,tsql,mixed
91,644,single-page-application,mixed
92,646,stylus,mixed
93,646,twig,mixed
94,646,wordpress,WordPress
95,647,mocha,testing
96,647,gruntjs,JavaScript Tools
97,647,browserify,JavaScript Tools
98,648,microservices,microservices
99,648,hibernate,Hibernate
100,654,sketchapp,mixed
101,655,babel,mixed
102,656,data-warehouse,bigdata
103,656,database,bigdata
104,656,plsql,SQL
105,656,oracle,open source OLAP
106,657,ecmascript-6,JavaScript Tools
107,657,netsuite,mixed
108,658,lavarel,mixed
109,658,oop,mixed
110,660,solid-principles,mixed
111,662,netsuite,mixed
112,662,ecmascript-6,JavaScript Tools
113,663,microservices,microservices
114,666,user-interface,mixed
115,667,graphite,mixed
116,673,mobile,mixed
117,675,payment-gateway,mixed
118,675,payment,mixed
119,675,payment-processing,mixed
120,676,virtuozzo,mixed
121,676,openvz,mixed
122,678,frontend,Frontend
123,679,gis,mixed
124,682,haproxy,mixed
125,682,scripting,mixed
126,683,single-page-application,mixed
127,685,foundation,mixed
128,687,bigdata,bigdata
129,691,github,Repository management services
130,691,vmware,mixed
131,692,coffeescript,mixed
132,693,tomcat,Apache Frameworks
133,694,frontend,Frontend
134,697,mariadb,mixed
135,698,bitcoin,mixed
136,700,oop,mixed
137,702,oop,mixed
138,703,oracle,open source OLAP
139,703,jms,mixed
140,704,cloudfoundry,Cloud
141,704,microservices,microservices
142,705,r,R
143,707,database,bigdata
144,707,networking,mixed
145,707,distributed-system,mixed
146,710,cucumber,testing
147,710,behat,PHP Frameworks
148,710,codeception,mixed
149,711,web-services,mixed
150,712,solr,Apache Frameworks
151,712,search,mixed
152,712,lucene,mixed
153,713,express,Node.js
154,714,salesforce,mixed
155,714,end-to-end-delivery,mixed
156,714,project-management,mixed
157,714,backlog,mixed
158,716,kotlin,Kotlin
159,717,frontend,Frontend
160,718,qunit,mixed
161,720,oracle,open source OLAP
162,720,vba,mixed
163,720,access,mixed
164,720,apex,mixed
165,721,sinatra,mixed
166,721,software,mixed
167,722,c#,c#
168,722,mobile,mixed
169,723,proxy,mixed
170,725,salesforce,mixed
171,725,crm,mixed
172,725,apex,mixed
173,725,visualforce,mixed
174,726,pgtap,mixed
175,726,liquibase,mixed
176,728,realm,mixed
177,731,3d,mixed
178,731,vr,mixed
179,731,augmented-reality,mixed
180,731,c++,C/C++
181,732,jvm,JVM
182,733,qa,qa
183,734,akka,mixed
184,736,junit,mixed
185,736,continuous-delivery,Continuous Delivery
186,739,jarkata,mixed
187,740,mocking,mixed
188,741,rubygems,Ruby
189,741,dry,mixed
190,741,deployment,mixed
191,742,c++,C/C++
192,742,multithreading,mixed
193,742,matlab,mixed
194,743,hbase,mixed
195,745,backend,backend
196,747,groovy,Groovy
197,747,grails,Grails
198,748,groovy,Groovy
199,748,grails,Grails
200,749,junit,mixed
201,749,mockito,mixed
202,750,statistics,mixed
203,750,fraud-prevention,mixed
204,750,algorithm,algorithm
205,753,backend,backend
206,754,cqrs,mixed
207,754,event-sourcing,mixed
208,755,gwt,mixed
209,755,vaadin,mixed
210,755,zend-framework,PHP Frameworks
211,756,security,mixed
212,756,infosec,mixed
213,756,mri,mixed
214,756,ror,mixed
215,756,rails,Ruby
216,758,c,C/C++
217,758,assembly,mixed
218,758,embedded,mixed
219,758,debugging,mixed
220,758,hardware-programming,mixed
221,759,iaas,mixed
222,760,jvm,JVM
223,761,frontend,Frontend
224,762,mesos,mixed
225,763,salt,mixed
226,764,networking,mixed
227,764,cisco,mixed
228,764,infrastructure,mixed
229,764,vpn,mixed
230,766,angular2,Angular.js
231,769,bigdata,bigdata
232,771,gis,mixed
233,772,lean,mixed
234,773,c++,C/C++
235,773,openstreetmap,mixed
236,774,nagios,mixed
237,774,mariadb,mixed
238,775,oracle,open source OLAP
239,775,plsql,SQL
240,776,terraform,Terraform
241,777,c++,C/C++
242,777,openstreetmap,mixed
243,778,enterprise-architect,mixed
244,778,architecture,mixed
245,780,mapreduce,mixed
246,784,c++,C/C++
247,785,jvm,JVM
248,788,haskell,mixed
249,788,erlang,Erlang
250,788,c#,c#
251,788,clojure,mixed
252,789,distributed-system,mixed
253,789,security,mixed
254,789,cyber,mixed
255,789,reverse-engineering,mixed
256,793,iphone,mixed
257,795,windows,mixed
258,795,watchguard,mixed
259,795,ocs,mixed
260,795,encryption,mixed
261,797,windows,mixed
262,797,assembly,mixed
263,797,ide,mixed
264,797,architecture,mixed
265,798,tomcat,Apache Frameworks
266,798,jpa,mixed
267,799,native,mixed
268,800,oracle,open source OLAP
269,800,backup,mixed
270,800,database,bigdata
271,801,soap,mixed
272,802,testlink,mixed
273,802,appium,mixed
274,802,testng,testing
275,803,mobile,mixed
276,803,sdk,mixed
277,805,.net,.net
278,805,c#,c#
279,805,microservices,microservices
280,806,informix,mixed
281,809,cloudwatch,Cloud
282,810,atlassian,Atlassian
283,810,confluence,mixed
284,810,plugins,mixed
285,810,add-on,mixed
286,811,development,mixed
287,812,microservices,microservices
288,812,bigdata,bigdata
289,813,programmin,mixed
290,815,qa,qa
291,815,appium,mixed
292,815,calabash,iOS
293,816,cloudfoundry,Cloud
294,816,openstack,mixed
295,818,frontend,Frontend
296,819,c++,C/C++
297,819,c,C/C++
298,819,qt,mixed
299,821,xcode,iOS
300,823,iphone,mixed
301,823,core-bluetooth,mixed
302,823,ibeacon,mixed
303,824,c,C/C++
304,824,c++,C/C++
305,825,mobile,mixed
306,826,c++,C/C++
307,826,c++11,C/C++
308,826,data-structures,mixed
309,826,algorithm,algorithm
310,826,linear-programming,mixed
311,827,cucumber,testing
312,827,behat,PHP Frameworks
313,827,codeception,mixed
314,1,GIS,mixed
315,2,C++,C/C++
316,2,Matlab,mixed
317,2,R,R
318,3,Wordpress,WordPress
319,6,Express,Node.js
320,6,RxJS,mixed
321,6,GCP,mixed
322,6,CloudFoundry,Cloud
323,6,CouchDB,NoSQL
324,6,Memcached,Memcached
325,6,Varnish,mixed
326,6,HAProxy,mixed
327,7,modern JVM,mixed
328,10,MLlib,mixed
329,10,Presto,mixed
330,10,Impala,mixed
331,11,SQS,mixed
332,12,C++,C/C++
333,12,CAD,mixed
334,13,ECMAScript 6,JavaScript Tools
335,13,Babel,JS Compiler
336,15,Confluence,Atlassian
337,15,F2P,mixed
338,17,AJAX,mixed
339,18,ZeroMQ,mixed
340,19,R,R
341,20,BigQuery,Google Cloud Platform
342,20,Airflow,Apache Frameworks
343,20,Datadog,mixed
344,20,R,R
345,23,Play,Scala Frameworks
346,23,ActiveMQ,Apache Frameworks
347,23,Spinnaker,mixed
348,25,Ionic,mixed
349,27,Ionic,mixed
350,27,BubbleSort,mixed
351,28,UX,UX/UI
352,28,Wordpress,WordPress
353,29,Elixir,mixed
354,30,D3,mixed
355,30,Highcharts,mixed
356,31,Express,Node.js
357,31,ECS,mixed
358,31,RDS,AWS
359,31,CloudFormation,Cloud
360,31,CloudWatch,Cloud
361,31,CAD,mixed
362,33,CoffeeScript,mixed
363,33,HAML,mixed
364,33,Browserify,JavaScript Tools
365,33,BEM,mixed
366,33,Jest,testing
367,33,Mocha,testing
368,35,ETL framework,mixed
369,35,Snowplow,mixed
370,35,Looker,mixed
371,35,Tableau,Data viz tools
372,35,Sisense,mixed
373,37,Kotlin,Kotlin
374,38,OOP,mixed
375,39,Angular2,Angular.js
376,39,Protractor,mixed
377,39,Yarn,yarn
378,40,Orchestration,mixed
379,40,GCE,mixed
380,40,C#,C#
381,41,Riak,mixed
382,41,Elastic Search,Elastic Stack
383,41,Vue,JavaScript Tools
384,42,C++,C/C++
385,44,Angular2,Angular.js
386,44,Protractor,mixed
387,44,Yarn,yarn
388,45,Flux-architecture,mixed
389,45,Promises/Q,mixed
390,45,Underscore,mixed
391,46,JVM,JVM
392,47,Vue,JavaScript Tools
393,50,Tableau,Data viz tools
394,50,QuickSight,mixed
395,50,GA,mixed
396,50,GTM,mixed
397,50,Snowplow,mixed
398,50,R,R
399,50,Pandas,Python-based
400,50,SciPy,Python-based
401,53,Rails,Ruby
402,53,Erlang,Erlang
403,53,C,C/C++
404,53,Kotlin,Kotlin
405,53,Elm,mixed
406,53,Github,Repository management services
407,53,Graylog,mixed
408,53,Kibana,Elastic Stack
409,53,Consu,mixed
410,56,Airflow,Apache Frameworks
411,57,Perl,Perl
412,57,OTRS,mixed
413,60,PHP7,PHP
414,60,Symfony3,PHP Frameworks
415,63,Meteor,mixed
416,64,Solr,Apache Frameworks
417,66,OOP,mixed
418,66,MVP,mixed
419,66,MVVM,mixed
420,67,localytics,mixed
421,67,VWO,mixed
422,67,Optimizely,mixed
423,68,Cucumber,testing
424,68,Gherkin,mixed
425,68,Nightwatch,mixed
426,68,Mocha,testing
427,68,Chai,BDD/TDD
428,68,JUnit,mixed
429,69,XP,mixed
430,70,Websocket,mixed
431,70,Elm,mixed
432,71,GIS,mixed
433,72,Grails,Grails
434,72,Hibernate,Hibernate
435,72,RestAPI,RESTful APIs
436,73,ERP-systems,mixed
437,73,SAP,mixed
438,74,Waterfall,mixed
439,74,UML modeling,mixed
440,75,Excel,mixed
441,75,Pentaho,mixed
442,75,Talend,mixed
443,76,TensorFlow,Machine Learning
444,77,RxJava,mixed
445,77,Couchbase,mixed
446,79,Server administration,sysadmin
447,80,Browserify,JavaScript Tools
448,82,PHP5/OOP,PHP
449,82,Magento,e-commerce platform
450,83,Magento,e-commerce platform
451,84,Java8,mixed
452,84,Security,mixed
453,84,Scheduling,mixed
454,84,Tx,mixed
455,84,Ribbon),mixed
456,84,Messaging JMS / AMQP,mixed
457,84,Dynamo DB,mixed
458,85,Universal rendering,mixed
459,85,Marionette,JavaScript Tools
460,85,SCSS,CSS
461,86,memcached,Memcached
462,86,JVM,JVM
463,86,CloudFormation,Cloud
464,86,Route 53,mixed
465,86,Elasticache,mixed
466,86,RDS,AWS
467,87,Confluence,Atlassian
468,87,,mixed
469,88,Websocket,mixed
470,90,NLP,mixed
471,93,IoT,mixed
472,94,Blockchain,mixed
473,94,Bots,mixed
474,94,BigData,bigdata
475,94,IoT,mixed
476,94,Silex,mixed
477,94,On-Premise,mixed
478,94,Spryker,mixed
479,95,Twig,mixed
480,95,Scss,CSS
481,95,Foundation,mixed
482,95,Photoshop,mixed
483,98,VLAN,mixed
484,98,VPN,mixed
485,98,IT administration,mixed
486,99,Yarn,yarn
487,99,HDFS,mixed
488,99,Flink,mixed
489,99,Jupyter,Python-based
490,99,Hue,mixed
491,101,NLP,mixed
492,103,Snowplow,mixed
493,103,Airflow,Apache Frameworks
494,104,Tableau,Data viz tools
495,104,Metabase,mixed
496,104,QuickSight,mixed
497,104,Excel,mixed
498,104,GA,mixed
499,104,GTM,mixed
500,104,Snowplow,mixed
501,104,R,R
502,104,Pandas,Python-based
503,104,SciPy,Python-based
504,105,Edge,mixed
505,105,Cisco,mixed
506,105,Ubiquity,mixed
507,105,VLAN,mixed
508,105,VPN,mixed
509,105,Synology NAS,mixed
510,105,iptables,mixed
511,105,cron,mixed
512,105,ssh,mixed
513,105,dns,mixed
514,105,ssl,mixed
515,105,Navision,mixed
516,105,Remote Desktop,mixed
517,105,MSSQL,mixed
518,105,Active Directory,mixed
519,105,Route53,mixed
520,105,RDS,AWS
521,106,Yii,mixed
522,106,FuelPHP,PHP
523,106,Zend 2,PHP Frameworks
524,106,svn,Apache Frameworks
525,106,CouchDB,NoSQL
526,106,memcache,Memcached
527,106,BDD (Behat,mixed
528,106,Codeception),mixed
529,106,Composer,mixed
530,106,Packagist,mixed
531,107,Cloudera,Cloud
532,107,Hortonworks,mixed
533,107,MapR,mixed
534,107,Amazon EMR,aws
535,107,BigQuery,Google Cloud Platform
536,107,Data Store,mixed
537,108,Sahi,mixed
538,108,TestRail,mixed
539,108,GCP,mixed
540,109,GCP,mixed
541,110,R,R
542,111,XCode,iOS
543,111,Cocoa Touch,mixed
544,111,web services,mixed
545,111,Media Services,mixed
546,111,Instruments,mixed
547,111,Sqlite,SQL
548,111,SOAP,mixed
549,112,SOA,mixed
550,112,Minitest,mixed
551,116,R,R
552,116,Matlab,mixed
553,116,SAS,open source OLAP
554,116,Excel,mixed
555,116,SSH,mixed
556,116,SCP Protocol,mixed
557,118,Excel,mixed
558,118,MS Project,mixed
559,120,Vue,JavaScript Tools
560,121,RDS,AWS
561,121,Nagios,mixed
562,121,Icinga,mixed
563,122,Groovy,Groovy
564,122,BrowserStack,mixed
565,122,SauceLabs,mixed
566,122,TestNG,testing
567,123,Vue,JavaScript Tools
568,123,Foundation,mixed
569,123,Rails,Ruby
570,124,Capybara,testing
571,124,Babel,JS Compiler
572,124,Postcss,mixed
573,124,Jest,testing
574,124,Sinon,mixed
575,124,Cha,mixed
576,125,Graphics Programming / WebGL,mixed
577,126,Oracle,open source OLAP
578,126,CouchDB,NoSQL
579,126,BDD,BDD/TDD
580,127,Web Driver,mixed
581,127,JUnit,mixed
582,127,TestNG,testing
583,127,SVN,Apache Frameworks
584,128,C#,C#
585,128,HTC Vive,mixed
586,128,svn,Apache Frameworks
587,130,R,R
588,130,Matlab,mixed
589,130,TensorFlow,Machine Learning
590,130,Torch,mixed
591,130,CRAN,mixed
592,131,JSX,mixed
593,131,PostCss),mixed
594,131,Gitflow,mixed
595,131,GitHub,Repository management services
596,131,TravisCI,Continuous integration
597,131,jest,testing
598,131,mocha,testing
599,131,chai,BDD/TDD
600,131,sinon,mixed
601,133,Swarm,mixed
602,133,Consul,mixed
603,135,Swarm,mixed
604,135,Consul,mixed
605,136,Magento,e-commerce platform
606,137,ISTQB/CAT certification,mixed
607,138,Eclipse,mixed
608,138,HDFS,mixed
609,138,Flink,mixed
610,138,YARN,yarn
611,141,ZeroMQ (ZMQ),mixed
612,142,HMTL,mixed
613,142,Mocha,testing
614,142,Chai,BDD/TDD
615,142,Enzyme,mixed
616,142,Sketch,mixed
617,142,Invision,mixed
618,142,Static Site Generators/Templating Engines,mixed
619,144,Memcache,Memcached
620,144,Load Balancers,mixed
621,144,Relational Databases,mixed
622,144,Elastic Search,Elastic Stack
623,145,C++,C/C++
624,145,Impala,mixed
625,145,Tensorflow,Machine Learning
626,154,POSTCSS,mixed
627,154,Foundation,mixed
628,157,PowerShell,mixed
629,158,Cocoa,mixed
630,159,RequireJS,mixed
631,159,Twig,mixed
632,163,C++,C/C++
633,163,OpenGL,mixed
634,163,JUCE,mixed
635,164,Haml,mixed
636,164,BEM,mixed
637,164,ClojureScript,mixed
638,165,C++,C/C++
639,166,Zend2,PHP Frameworks
640,166,Zend3,PHP Frameworks
641,167,Kotlin,Kotlin
642,167,JVM,JVM
643,170,Groovy,Groovy
644,170,Spock,mixed
645,170,Elastic Search,Elastic Stack
646,170,Kibana,Elastic Stack
647,170,Gradle,mixed
648,171,Elixir,mixed
649,171,Packer,mixed
650,171,Terraform,Terraform
651,172,Carto,mixed
652,173,Hudson,mixed
653,173,TestNG,testing
654,173,Unit Frameworks,mixed
655,174,Unity3D,mixed
656,174,C#,C#
657,175,Confluence,Atlassian
658,176,MariaDB,mixed
659,177,Express,Node.js
660,177,ECS,mixed
661,177,RDS,AWS
662,177,CloudFormation,Cloud
663,177,CloudWatch,Cloud
664,180,Cocoa Touch,mixed
665,180,Core Location,mixed
666,180,Core Motion,mixed
667,180,HealthKit,mixed
668,181,GCP,mixed
669,182,Keras,mixed
670,182,TensorFlow,Machine Learning
671,182,SciPy,Python-based
672,182,Jupyter,Python-based
673,182,Pandas,Python-based
674,184,bitcoin blockchain,mixed
675,184,ethereum,mixed
676,184,smart contracts,mixed
677,184,IOTA,mixed
678,184,Polkadot,mixed
679,184,Cosmos,mixed
680,184,Parity,mixed
681,184,IPFS,mixed
682,184,BigchainDB,mixed
683,186,SauceLabs,mixed
684,186,BrowserStack,mixed
685,186,VMs,mixed
686,187,Magento,e-commerce platform
687,187,BDD,BDD/TDD
688,188,Unity,mixed
689,188,C++,C/C++
690,188,Entity Component Systems,mixed
691,188,StrangeIoC,mixed
692,188,Zenject,mixed
693,189,C++,C/C++
694,190,XDebug,mixed
695,190,Zend,PHP Frameworks
696,193,Hibernate,Hibernate
697,193,IntelliJ IDEA,mixed
698,193,Eclipse,mixed
699,193,SVN,Apache Frameworks
700,194,SCSS,CSS
701,196,Gerrit,Repository management services
702,196,Groovy,Groovy
703,196,Perl,Perl
704,197,Excel,mixed
705,197,SSIS,mixed
706,197,Tableau,Data viz tools
707,198,C,C/C++
708,198,C++,C/C++
709,198,Groovy,Groovy
710,198,Perl,Perl
711,198,Hana,mixed
712,199,Perl,Perl
713,199,Gerrit,Repository management services
714,199,C/C++,C/C++
715,200,Perl,Perl
716,200,Gerrit,Repository management services
717,200,C/C++,C/C++
718,201,Gerrit,Repository management services
719,201,C/C++,C/C++
720,202,C++,C/C++
721,202,Gerrit,Repository management services
722,203,C/C++,C/C++
723,203,Perl,Perl
724,203,Gerrit,Repository management services
725,204,Memcache,Memcached
726,204,Load Balancers,mixed
727,204,Vagrant,mixed
728,204,Elastic Search,Elastic Stack
729,205,C++,C/C++
730,205,Gerrit,Repository management services
731,206,JUnit,mixed
732,206,JBehave,mixed
733,206,TestNG,testing
734,206,JMeter,mixed
735,206,LoadRunner,mixed
736,207,Travis,Continuous integration
737,207,Bitcoin,mixed
738,207,Ethereum,mixed
739,209,ADT,mixed
740,209,RxJava,mixed
741,209,Kotlin,Kotlin
742,210,SaltStack,mixed
743,210,Zabbix,mixed
744,210,Logstash,mixed
745,210,Elastic Search,Elastic Stack
746,210,Travis,Continuous integration
747,213,Xcode,iOS
748,213,AppCode,mixed
749,213,Instruments,mixed
750,214,Webstorm,mixed
751,215,CoffeeScript,mixed
752,216,HTTP2,mixed
753,216,Yarn,yarn
754,216,Babel,JS Compiler
755,216,Browserify,JavaScript Tools
756,216,Rollup,mixed
757,217,Travis,Continuous integration
758,219,tomcat,Apache Frameworks
759,219,memcached,Memcached
760,220,Sequelize,mixed
761,220,Teamcity,mixed
762,224,HL7,mixed
763,224,FHIR,mixed
764,224,IHE,mixed
765,224,DICOM,mixed
766,224,IEEE,mixed
767,224,ISO,mixed
768,224,CEN,mixed
769,224,EHR/EMR,mixed
770,224,XSLT,mixed
771,225,Rails,Ruby
772,226,Karma,mixed
773,229,PHP5+,PHP
774,229,PHP7,PHP
775,229,Magento,e-commerce platform
776,229,SOAP,mixed
777,229,Solr,Apache Frameworks
778,229,Magento,e-commerce platform
779,231,Teamcity,mixed
780,231,Openstack,mixed
781,233,Doctrine,mixed
782,233,Zend2,PHP Frameworks
783,233,composer,mixed
784,233,Vagrant,mixed
785,233,PHPStorm,PHP
786,233,XDebug,mixed
787,234,Haskell,mixed
788,234,Rust,mixed
789,236,Finatra,mixed
790,236,Play,Scala Frameworks
791,236,Terraform,Terraform
792,236,SAP Hana,mixed
793,238,Finatra,mixed
794,238,Play,Scala Frameworks
795,238,Terraform,Terraform
796,238,SAP Hana,mixed
797,239,Terraform,Terraform
798,240,MVP,mixed
799,242,BDD,BDD/TDD
800,242,Magento,e-commerce platform
801,242,Codeception,mixed
802,242,Behat,PHP Frameworks
803,243,ECMAScript2015,JavaScript Tools
804,244,Flow,mixed
805,246,Mesos,mixed
806,246,Marathon,mixed
807,247,C/C++,C/C++
808,248,CD,mixed
809,249,SAN,mixed
810,249,NAS,mixed
811,249,Windows,mixed
812,249,MAC,mixed
813,249,Powershell,mixed
814,250,HAProxy,mixed
815,252,PHP7,PHP
816,252,Karma,mixed
817,254,Meteor,mixed
818,255,HAProxy,mixed
819,255,GCP,mixed
820,256,CISSP certification,mixed
821,257,CDN,mixed
822,257,FTP,mixed
823,258,Terraform,Terraform
824,258,Packer,mixed
825,258,BDD,BDD/TDD
826,258,Solr,Apache Frameworks
827,262,Play Framework,Scala Frameworks
828,262,http4s,mixed
829,262,Message Queues,mixed
830,263,Kinesis,AWS
831,264,Pyramid,mixed
832,264,Flask,mixed
833,264,GraphQL,mixed
834,265,Looker,mixed
835,265,Pentaho,mixed
836,265,Excel,mixed
837,265,R,R
838,265,SAS,open source OLAP
839,265,SPSS,mixed
840,266,Appium,mixed
841,266,Calabash,iOS
842,267,Pandas,Python-based
843,267,R,R
844,269,Lamp stack,mixed
845,271,R,R
846,271,SAS,open source OLAP
847,271,SPSS,mixed
848,271,Looker,mixed
849,272,MSSQL,mixed
850,272,PowerShell,mixed
851,273,Lua,mixed
852,276,Testrail,mixed
853,279,Cucumber,testing
854,280,Elixir,mixed
855,280,Cucumber,testing
856,280,Neo4j,mixed
857,280,InfluxDB/ Prometheus,mixed
858,282,Foundation,mixed
859,282,CloudFront,Cloud
860,282,OpsWorks,mixed
861,282,IntelliJ,mixed
862,283,BEM,mixed
863,285,Confluence,Atlassian
864,285,IoT/Industry 4.0,mixed
865,287,ECMAScript 6,JavaScript Tools
866,287,WebGL,mixed
867,287,Celery,mixed
868,290,Zend,PHP Frameworks
869,290,Lombok,mixed
870,290,Transcoder,mixed
871,292,C++,C/C++
872,292,OpenCV,mixed
873,293,OWASP Top 10,mixed
874,294,Ember,mixed
875,297,JVM,JVM
876,297,Haskell,mixed
877,297,SML,mixed
878,297,OCaml,mixed
879,297,Lisp,mixed
880,297,Idris,mixed
881,297,Rust,mixed
882,297,Erlang,Erlang
883,300,ISTQB,mixed
884,300,ITIL,mixed
885,300,IREB,mixed
886,302,C,C/C++
887,302,R,R
888,303,Ember,mixed
889,303,D3js,mixed
890,303,C++,C/C++
891,303,R,R
892,304,SCSS,CSS
893,304,Meteor,mixed
894,304,Jest,testing
895,307,XStudio,mixed
896,307,NewRelic,mixed
897,309,Yocto/Open Embedded,mixed
898,309,C,C/C++
899,309,C++,C/C++
900,309,Qt/QML,mixed
901,311,Bubblesort,mixed
902,311,Ionic,mixed
903,313,GraphQL,mixed
904,313,Promises,mixed
905,314,Travis,Continuous integration
906,314,Capybara,testing
907,315,Coffeescript,mixed
908,315,Dart,mixed
909,316,TCP,mixed
910,318,Cucumber,testing
911,318,Gherkin,mixed
912,318,SVN,Apache Frameworks
913,318,CVS,mixed
914,319,Ember,mixed
915,322,Cake,mixed
916,322,Magento,e-commerce platform
917,322,WooCommerce,e-commerce platform
918,323,ScyllaDB,mixed
919,323,Pandas,Python-based
920,324,Native,mixed
921,328,Bitbucket,Repository management services
922,328,Confluence,Atlassian
923,329,Cucumber,testing
924,329,TravisCI,Continuous integration
925,330,HBase,mixed
926,330,Pig,Apache Frameworks
927,330,Mapreduce,mixed
928,330,Bigtable,mixed
929,330,Storm,mixed
930,331,HDFS,mixed
931,331,Pig,Apache Frameworks
932,331,BingAds,mixed
933,331,Social Media Advertising,mixed
934,331,Universal Analytics,mixed
935,332,WordPress,WordPress
936,332,Shopify,e-commerce platform
937,332,Woocommerce,mixed
938,332,Subversion,mixed
939,338,Gsap,mixed
940,339,C++,C/C++
941,339,C#,C#
942,339,Couchbase,mixed
943,339,Oracle,open source OLAP
944,341,Elixir,mixed
945,342,ECMAScript 6,JavaScript Tools
946,344,SPSS,mixed
947,344,RapidMine,mixed
948,345,Unity3D,mixed
949,346,C#,C#
950,347,Xamarin,mixed
951,347,Xamarin.Forms,mixed
952,347,C#,C#
953,348,C#,C#
954,348,JQeury,mixed
955,348,Mocha,testing
956,348,WCF Data Services,mixed
957,348,OData,mixed
958,349,Gerrit,Repository management services
959,349,C/C++,C/C++
960,349,Wildfly,mixed
961,349,Piwik,mixed
962,349,Graylog,mixed
963,351,Data architecture,bigdata
964,352,Vue,JavaScript Tools
965,353,OpenStack,mixed
966,353,Play,Scala Frameworks
967,353,Rabbit MQ,RabbitMQ
968,353,Elastic Search,Elastic Stack
969,353,Mongo DB,NoSQL
970,354,Zend,PHP Frameworks
971,355,R,R
972,356,Firebase,mixed
973,356,BigTable,mixed
974,356,BigQuery,Google Cloud Platform
975,357,C,C/C++
976,357,C++,C/C++
977,357,Raspberry PI,mixed
978,357,Beaglebone,mixed
979,357,SqlLite,SQL
980,357,InfluxDB,mixed
981,357,Trello,mixed
982,358,Couchbase,mixed
983,361,LEAN,mixed
984,362,Mocha,testing
985,362,Heroku PAAS,mixed
986,362,Erlang,Erlang
987,363,hdfs,mixed
988,363,Pig,Apache Frameworks
989,363,Impala,mixed
990,363,vertica,mixed
991,363,SAP HANA,mixed
992,363,Tableau,Data viz tools
993,363,Rundeck,mixed
994,363,Pentaho,mixed
995,363,storm,mixed
996,363,samza,mixed
997,363,flink,mixed
998,365,SVN,Apache Frameworks
999,365,WordPress,WordPress
1000,366,Hibernate,Hibernate
1001,366,OAuth/cryptography,mixed
1002,368,BigQuery,Google Cloud Platform
1003,368,Kinesis,AWS
1004,370,Symphony,PHP Frameworks
1005,372,C++,C/C++
1006,373,UX,UX/UI
1007,373,Excel,mixed
1008,374,C,C/C++
1009,374,C++,C/C++
1010,375,Grape,mixed
1011,375,Sinatra,mixed
1012,376,C++,C/C++
1013,379,MQTT,mixed
1014,379,AMQP,mixed
1015,381,Saltstack,mixed
1016,382,Data architecture,bigdata
1017,382,Data infrastructure,mixed
1018,384,RobotFramework,mixed
1019,385,SCSS,CSS
1020,385,CD,mixed
1021,386,Java8,mixed
1022,386,Netflix Stack,mixed
1023,386,Saltstack,mixed
1024,386,Packer,mixed
1025,386,GCE,mixed
1026,386,Logstash,mixed
1027,386,Kibana,Elastic Stack
1028,386,Zipkin,mixed
1029,386,Prometheus,mixed
1030,387,ActiveRecord,mixed
1031,388,C,C/C++
1032,388,C++,C/C++
1033,389,Appium,mixed
1034,390,PostGIS,mixed
