group,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14
jenkins,jenkins,,,,,,,,,,,,,
JIRA,JIRA,,,,,,,,,,,,,
jms,jms,,,,,,,,,,,,,
jpa,jpa,,,,,,,,,,,,,
JQuery,JQuery,,,,,,,,,,,,,
JSON,JSON,,,,,,,,,,,,,
JUnit,JUnit,,,,,,,,,,,,,
JVM,JVM,,,,,,,,,,,,,
Kafka,Kafka,,,,,,,,,,,,,
Kanban,Kanban,,,,,,,,,,,,,
Kotlin,Kotlin,,,,,,,,,,,,,
Kubernetes,Kubernetes,,,,,,,,,,,,,
Lambda,Lambda,,,,,,,,,,,,,
Laravel,Laravel,,,,,,,,,,,,,
less,less,,,,,,,,,,,,,
Linux,Linux,LAMP,,,,,,,,,,,,
liquibase,liquibase,,,,,,,,,,,,,
localytics,localytics,,,,,,,,,,,,,
Looker,Looker,,,,,,,,,,,,,
lucene,lucene,,,,,,,,,,,,,
Machine Learning,Machine Learning,machine learning-,ML,,,,,,,,,,,
mapreduce,mapreduce,,,,,,,,,,,,,
mariadb,mariadb,,,,,,,,,,,,,
Matlab,Matlab,,,,,,,,,,,,,
Maven,Maven,,,,,,,,,,,,,
Memcached,Memcached,memcache,,,,,,,,,,,,
mesos,mesos,,,,,,,,,,,,,
Meteor,Meteor,,,,,,,,,,,,,
MLlib,MLlib,,,,,,,,,,,,,
Mocha,mocha,mocha,mocking,mockito,mockups,mockito,,,,,,,,
modern JVM,modern JVM,,,,,,,,,,,,,
MongoDB,MongoDB,,,,,,,,,,,,,
MVC,MVC,,,,,,,,,,,,,
MVP,MVP,,,,,,,,,,,,,
MVVM,MVVM,,,,,,,,,,,,,
mvvm,mvvm,,,,,,,,,,,,,
Mysql,Mysql,MySQL-databases,,,,,,,,,,,,
nagios,nagios,,,,,,,,,,,,,
native,native,,,,,,,,,,,,,
netsuite,netsuite,,,,,,,,,,,,,
nginx,nginx,,,,,,,,,,,,,
Nginx,Nginx,,,,,,,,,,,,,
Nightwatch,Nightwatch,nightwatch.js,,,,,,,,,,,,
Node.js,Node.js,node,node js,,,,,,,,,,,
NoSQL,NoSQL,,,,,,,,,,,,,
npm,npm,,,,,,,,,,,,,
Objective C,Objective C,objective-c,,,,,,,,,,,,
OOP,OOP,,,,,,,,,,,,,
opennebula,opennebula,,,,,,,,,,,,,
openstack,openstack,,,,,,,,,,,,,
openstreetmap,openstreetmap,,,,,,,,,,,,,
openvz,openvz,,,,,,,,,,,,,
Optimizely,Optimizely,,,,,,,,,,,,,
oracle,oracle,plsql,,,,,,,,,,,,
Orchestration,Orchestration,,,,,,,,,,,,,
OTRS,OTRS,,,,,,,,,,,,,
Pandas,Pandas,,,,,,,,,,,,,
Perl,Perl,,,,,,,,,,,,,
PHP,PHP,PHP7,PHP5,php-fpm,PHP Symfony,fuelPHP,,,,,,,,
piwik,piwik,,,,,,,,,,,,,
Play,Play,,,,,,,,,,,,,
Post.css,Post.css,,,,,,,,,,,,,
PostgreSQL,PostgreSQL,postgresql,postgres sql,postgresql,postgresql-9.6,,,,,,,,,
Presto,Presto,,,,,,,,,,,,,
Promises/Q,Promises/Q,,,,,,,,,,,,,
Protractor,Protractor,,,,,,,,,,,,,
Puppet,Puppet,,,,,,,,,,,,,
Python,Python,,,,,,,,,,,,,
Python Celery,Python Celery,,,,,,,,,,,,,
qlikview,qlikview,,,,,,,,,,,,,
qml,qml,,,,,,,,,,,,,
qt,qt,,,,,,,,,,,,,
QuickSight,QuickSight,,,,,,,,,,,,,
qunit,qunit,,,,,,,,,,,,,
R,R,,,,,,,,,,,,,
RabbitMQ,RabbitMQ,,,,,,,,,,,,,
RDS,RDS,,,,,,,,,,,,,
React,React,React Native,React.js,ReactJS,react,react js,react native,react redux,react-native,react-redux,reactjs,REDUX,,
realm,realm,,,,,,,,,,,,,
Redis,Redis,,,,,,,,,,,,,
Redux,Redux,Redux Thunk,,,,,,,,,,,,
relayjs,relayjs,,,,,,,,,,,,,
Require.js,Require.js,,,,,,,,,,,,,
REST,REST,REST API,Rest APIs,REST APIs,RestAPI,RESTful API,Restful APIs,restful APIs,restful-architecture,,,,,
Riak,Riak,,,,,,,,,,,,,
Ruby on Rails,Ruby on Rails,Ruby-on-Rails,ruby,ruby on rails,ruby-on-rails,ruby-on-rails-4,Rails,ror,,,,,,
RxJS,RxJS,ReactiveX,rxjava,,,,,,,,,,,
S3,S3,,,,,,,,,,,,,
SAP,SAP,,,,,,,,,,,,,
Sass,Sass,,,,,,,,,,,,,
Scala,Scala,,,,,,,,,,,,,
scikit-learn,scikit-learn,,,,,,,,,,,,,
SciPy,SciPy,,,,,,,,,,,,,
scrum,scrum,,,,,,,,,,,,,
sdk,sdk,,,,,,,,,,,,,
Selenium,Selenium,selenium-webdriver,,,,,,,,,,,,
shell,shell,,,,,,,,,,,,,
sinatra,sinatra,,,,,,,,,,,,,
Sisense,Sisense,,,,,,,,,,,,,
sketch,sketchapp,sketch,,,,,,,,,,,,
Skill,Skill,,,,,,,,,,,,,
Snowplow,Snowplow,,,,,,,,,,,,,
soap,soap,,,,,,,,,,,,,
Solr,Solr,,,,,,,,,,,,,
Spark,Spark,,,,,,,,,,,,,
Spinnaker,Spinnaker,,,,,,,,,,,,,
Spring,Spring,Spring-Boot,Spring Cloud Netflix,,,,,,,,,,,
SQL,SQL,sql-server,,,,,,,,,,,,
SQS,SQS,,,,,,,,,,,,,
Swift,Swift,,,,,,,,,,,,,
Symfony3,Symfony3,symfony,symfony 2,symfony-2.1,symfony2,symfony3,,,,,,,,
T-SQL,T-SQL,tsql,t sql,Transact SQL,Transact-SQL,,,,,,,,,
Tableau,Tableau,tableau-server,,,,,,,,,,,,
TCP/IP,TCP/IP stack,TCP/IP,tcp ip,,,,,,,,,,,
TDD,TDD/testing,TDD,,,,,,,,,,,,
tensorflow,tensorflow,,,,,,,,,,,,,
terraform,terraform,,,,,,,,,,,,,
testlink,testlink,,,,,,,,,,,,,
testng,testng,,,,,,,,,,,,,
twig,twig,,,,,,,,,,,,,
TypeScript,TypeScript,,,,,,,,,,,,,
ui,ui,user i,user interface,user-interface,,,,,,,,,,
UI/UX,UI/UX,,,,,,,,,,,,,
Underscore,Underscore,,,,,,,,,,,,,
Unix,Unix,,,,,,,,,,,,,
Unix/Linux,Unix/Linux,UNIX/Linux,,,,,,,,,,,,
UX,UX,user experience,user x,user-experience,ux,,,,,,,,,
vaadin,vaadin,,,,,,,,,,,,,
Varnish,Varnish,,,,,,,,,,,,,
vba,vba,,,,,,,,,,,,,
video.js,video.js,,,,,,,,,,,,,
virtuozzo,virtuozzo,,,,,,,,,,,,,
visualforce,visualforce,,,,,,,,,,,,,
vmware,vmware,,,,,,,,,,,,,
vpn,vpn,,,,,,,,,,,,,
vr,vr,,,,,,,,,,,,,
Vue,Vue,vue.js,,,,,,,,,,,,
VWO,VWO,,,,,,,,,,,,,
watchguard,watchguard,,,,,,,,,,,,,
Webpack,Webpack,,,,,,,,,,,,,
Websocket,Websocket,,,,,,,,,,,,,
websphere,websphere,,,,,,,,,,,,,
windows,windows,,,,,,,,,,,,,
Wordpress,Wordpress,wp,,,,,,,,,,,,
xcode,xcode,,,,,,,,,,,,,
xhtml,xhtml,,,,,,,,,,,,,
xml,xml,,,,,,,,,,,,,
XP,XP,,,,,,,,,,,,,
zend-framework,zend-framework,zend,zend framework,zend 2,,,,,,,,,,
